DIALS 1.dev.75-g8c1986a
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 540...
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1599 strong pixels on image 335
Found 1637 strong pixels on image 336
Found 1748 strong pixels on image 337
Found 1715 strong pixels on image 338
Found 1742 strong pixels on image 339
Found 1646 strong pixels on image 340
Found 1756 strong pixels on image 341
Found 1623 strong pixels on image 342
Found 1604 strong pixels on image 343
Found 1615 strong pixels on image 344
Found 1672 strong pixels on image 345
Found 1605 strong pixels on image 346
Found 1639 strong pixels on image 347
Found 1605 strong pixels on image 348
Found 1745 strong pixels on image 349
Found 1865 strong pixels on image 350
Found 1776 strong pixels on image 351
Found 1660 strong pixels on image 352
Found 1673 strong pixels on image 353
Found 1653 strong pixels on image 354
Found 1574 strong pixels on image 355
Found 1637 strong pixels on image 356
Found 1637 strong pixels on image 357
Found 1667 strong pixels on image 358
Found 1613 strong pixels on image 359
Found 1614 strong pixels on image 360
Found 1653 strong pixels on image 361
Found 1676 strong pixels on image 362
Found 1690 strong pixels on image 363
Found 1720 strong pixels on image 364
Found 1665 strong pixels on image 365
Found 1743 strong pixels on image 366
Found 1787 strong pixels on image 367
Found 1733 strong pixels on image 368
Found 1737 strong pixels on image 369
Found 1829 strong pixels on image 370
Found 1523 strong pixels on image 371
Found 1533 strong pixels on image 372
Found 1566 strong pixels on image 373
Found 1630 strong pixels on image 374
Found 1714 strong pixels on image 375
Found 1517 strong pixels on image 376
Found 1611 strong pixels on image 377
Found 1672 strong pixels on image 378
Found 1649 strong pixels on image 379
Found 1577 strong pixels on image 380
Found 1521 strong pixels on image 381
Found 1514 strong pixels on image 382
Found 1532 strong pixels on image 383
Found 1514 strong pixels on image 384
Found 1662 strong pixels on image 385
Found 1801 strong pixels on image 386
Found 1611 strong pixels on image 387
Found 1671 strong pixels on image 388
Found 1816 strong pixels on image 389
Found 1781 strong pixels on image 390
Found 1817 strong pixels on image 391
Found 1741 strong pixels on image 392
Found 1823 strong pixels on image 393
Found 1668 strong pixels on image 394
Found 1577 strong pixels on image 395
Found 1672 strong pixels on image 396
Found 1679 strong pixels on image 397
Found 1637 strong pixels on image 398
Found 1579 strong pixels on image 399
Found 1627 strong pixels on image 400
Found 1519 strong pixels on image 401
